date,lat,lon,depth,mag,eq_5km,eq_10km,eq_20km,eq_30km
2009-09-01 05:35:21.750000+00:00,46.3923333,-119.2566667,-0.179,1.5,False,False,False,False
2009-09-01 06:22:09.350000+00:00,40.957,-121.2065,13.867,1.7,False,False,False,False
2009-09-01 06:26:06.330000+00:00,46.3996667,-119.2668333,-0.161,2.3,False,False,False,False
2009-09-01 11:40:29.090000+00:00,46.4001667,-119.26,-0.199,1.5,False,False,False,False
2009-09-01 12:40:54.440000+00:00,39.8205,-123.2223333,4.509,1.79,False,False,True,True
2009-09-01 12:58:18.010000+00:00,39.2308333,-122.7126667,7.45,1.66,False,False,True,True
2009-09-01 13:04:28.370000+00:00,39.2331667,-122.7036667,10.192,1.98,False,False,True,True
2009-09-01 14:08:11.830000+00:00,46.846,-121.7685,-2.303,2.4,False,False,False,False
2009-09-01 14:29:16.170000+00:00,39.2271667,-122.7101667,8.61,1.5,False,False,True,True
2009-09-01 18:54:05.920000+00:00,39.9655,-120.891,7.489,2.05,False,False,False,False
2009-09-01 22:21:53.110000+00:00,47.717,-121.9278333,65.843,1.5,True,True,True,True
2009-09-01 23:41:29.470000+00:00,48.748,-121.6656667,-0.616,1.6,False,False,False,False
2009-09-01 23:42:26.280000+00:00,48.7721667,-121.8433333,-0.616,1.7,False,False,False,False
2009-09-02 05:45:18.750000+00:00,39.8385,-123.492,5.585,1.96,False,False,True,True
2009-09-02 07:54:58.520000+00:00,47.5425,-121.7265,17.601,1.6,False,False,False,False
2009-09-02 18:56:09.740000+00:00,46.1995,-122.1898333,-0.198,2.0,False,False,False,False
2009-09-02 21:36:24.440000+00:00,38.9738333,-122.5275,-0.399,1.97,False,False,False,True
2009-09-03 01:10:05.230000+00:00,46.1991667,-122.1818333,1.655,2.06,False,False,False,False
2009-09-03 01:28:44.866000+00:00,39.5943,-119.8203,11.7,2.3,False,False,False,False
2009-09-03 02:43:20.680000+00:00,46.3983333,-119.2676667,-0.181,1.9,False,False,False,False
2009-09-03 12:25:39.260000+00:00,46.3995,-119.2541667,0.641,2.2,False,False,False,False
2009-09-03 19:12:08.450000+00:00,47.8971667,-120.1016667,-0.52,1.9,False,False,False,False
2009-09-04 01:57:04.790000+00:00,40.8458333,-121.1816667,13.495,1.62,False,False,False,False
2009-09-04 04:53:04.410000+00:00,40.7315,-124.5135,14.2,2.41,False,False,False,True
2009-09-04 19:39:50.870000+00:00,47.3118333,-122.377,20.881,2.7,False,False,True,True
2009-09-05 00:17:17+00:00,45.5135,-122.6368333,17.335,2.5,False,False,False,True
2009-09-05 01:24:31.190000+00:00,39.5356667,-123.1356667,-1.021,1.69,False,False,False,True
2009-09-05 01:50:20.280000+00:00,40.2718333,-124.3126667,22.127,2.42,False,False,False,True
2009-09-05 03:09:04.580000+00:00,46.515,-121.6013333,-1.28,1.9,False,False,False,False
2009-09-05 04:51:08.250000+00:00,47.8993333,-120.1113333,-0.391,2.5,False,False,False,False
2009-09-05 04:58:25.480000+00:00,46.5151667,-121.5913333,-0.73,1.5,False,False,False,False
2009-09-05 08:36:35.470000+00:00,40.1346667,-123.8805,19.963,1.58,False,True,True,True
2009-09-05 09:08:19.560000+00:00,39.4381667,-123.11,2.019,1.78,False,False,True,True
2009-09-05 19:53:39.680000+00:00,39.8178333,-123.2168333,6.248,2.44,False,False,True,True
2009-09-06 14:09:02.900000+00:00,39.5345,-123.6948333,2.49,1.76,False,False,False,True
2009-09-06 18:26:29.650000+00:00,39.3955,-122.905,7.078,1.53,False,False,True,True
2009-09-06 22:33:08.790000+00:00,39.3981667,-122.9105,7.108,2.06,False,False,True,True
2009-09-06 23:27:06.940000+00:00,40.0045,-121.077,0.138,1.72,False,False,False,False
